     76 CO
    147 CU
     21 CU1
    102 FE
     36 FE2
      5 FEO
     29 FES
    922 MG
    222 MN
      5 MOO
      3 MOS
    157 NI
   2260 ZN
      1 resName1
      1 "APOPTOSIS
      3 "CELL CYCLE
      2 "CONTRACTILE PROTEIN
      1 "CYTOKINE
      1 "DNA BINDING PROTEIN
      2 "ENDOCYTOSIS/EXOCYTOSIS
      1 "Flurorescent Protein
      1 "GENE REGULATION
      5 "HYDROLASE
      1 "Hydrolase
      2 "IMMUNE SYSTEM
      1 "LIGASE
      1 "LYASE
      4 "MEMBRANE PROTEIN
      3 "METAL BINDING
      1 "METAL BINDING PROTEIN
      2 "Membrane Protein
      1 "ONCOPROTEIN
      3 "OXIDOREDUCTASE
      1 "Oxidoreductase
      1 "Oxygen Storage
      2 "PROTEIN BINDING
      1 "PROTEIN TRANSPORT
      1 "Peptide
      1 "RECOMBINATION
      1 "REPLICATION
      5 "SIGNALING PROTEIN
     87 "STRUCTURAL GENOMICS
      1 "STRUCTURAL PROTEIN
      1 "SUGAR BINDING
      1 "Signaling protein
     14 "Structural Genomics
      4 "Structural genomics
      2 "Structural protein
      4 "TRANSCRIPTION
      3 "TRANSFERASE
      2 "VIRAL PROTEIN
     13 "structural genomics
      2 "transcription
      1 2002-03-28
      1 ACTIN-BINDING PROTEIN/PEPTIDE
      3 ADP binding protein
      3 ALLERGEN
      1 AMINOPEPTIDASE
      1 ANGIOGENESIS INHIBITOR
      2 ANTIBIOTIC
      1 ANTIBIOTIC BIOSYNTHESIS
      1 ANTIBIOTIC RESISTANCE
      2 ANTIFREEZE PROTEIN
      3 ANTIMICROBIAL PROTEIN
      3 ANTITUMOR
     10 ANTIVIRAL PROTEIN
     32 APOPTOSIS
      1 APOPTOSIS INHIBITOR
      2 APOPTOSIS REGULATOR/INHIBITOR
      1 APOPTOSIS/APOPTOSIS INHIBITOR
      2 ARGININE-BINDING PROTEIN
      2 ATP binding protein
      1 ATP-binding protein
      1 Apoptosis Inhibitor
      1 Apoptosis/Inhibitor
      1 BINDING PROTEIN
     26 BIOSYNTHETIC PROTEIN
      6 BLOOD CLOTTING
      3 CALCIUM BINDING PROTEIN
      1 CALCIUM BINDING/STRUCTURAL PROTEIN
      6 CALCIUM-BINDING PROTEIN
      1 CARBOHYDRATE
      3 CARBOHYDRATE-BINDING PROTEIN
     88 CELL ADHESION
      1 CELL ADHESION PROTEIN
      1 CELL ADHESION/IMMUNE SYSTEM
     29 CELL CYCLE
      1 CELL CYCLE/CHAPERONE
      1 CELL DIVISION PROTEIN
      3 CELL INVASION
     47 CHAPERONE
      2 CHAPERONE/PROTEIN BINDING
      1 CHEMOTAXIS
      2 CHITIN-BINDING PROTEIN
      4 CHLOROPLASTIC MALATE DEHYDROGENASE
      2 CHOLINE-BINDING PROTEIN
      1 COMPLEX (ANTI-ONCOGENE/ANKYRIN REPEATS)
      1 COMPLEX (LYASE/HYDROLASE)
      1 COMPLEX (SIGNAL TRANSDUCTION/PEPTIDE)
      1 COMPLEX (TRANSFERASE/SUBSTRATE)
      2 COMPLEX (TWO TRANSCRIPTION FACTORS)
      1 CONTRACTILE
      4 CONTRACTILE PROTEIN
      2 COPPER-BINDING PROTEIN
      6 CYTOKINE
      1 CYTOKINE/CYTOKINE RECEPTOR
      1 CYTOSOLIC PROTEIN
      1 Carbohydrate-binding protein
      1 Cell Adhesion/Immune System
      1 DE NOVO PROTEIN
      1 DIOXYGENASE
    122 DNA BINDING PROTEIN
      1 DNA BINDING PROTEIN/CELL CYCLE
      1 DNA BINDING PROTEIN/PROTEIN BINDING
      1 DNA excision repair
      2 DNA-BINDING RECEPTOR
      1 DNA-BINDING REGULATORY PROTEIN
      2 ELECTRON TRANSFER
      2 ELECTRON TRANSFER(CUPROPROTEIN)
     63 ELECTRON TRANSPORT
      1 ELECTRON TRANSPORT (CUPROPROTEIN)
      2 ELECTRON TRANSPORT(COPPER BINDING)
      5 ENDOCYTOSIS
      5 ENDOCYTOSIS/EXOCYTOSIS
      3 ENDONUCLEASE
      2 EXOCYTOSIS
      1 Exchange Factor
      3 FLAVOPROTEIN
      3 FLUORESCENT PROTEIN
     51 GENE REGULATION
      1 GENE REGULATION/SIGNALING PROTEIN
      1 GLUTAMINE AMIDOTRANSFERASE
      2 GROWTH FACTOR
      2 HEME-BINDING PROTEIN
      4 HORMONE
      1 HORMONE RECEPTOR
      1 HYDROGENASE
    410 HYDROLASE
      1 HYDROLASE (ACTING IN CYCLIC AMIDES)
      1 HYDROLASE (ALPHA-AMINOACYLPEPTIDE)
      1 HYDROLASE (METALLOPROTEASE)
      1 HYDROLASE INHIBITOR/HYDROLASE
      1 HYDROLASE(ACTING ON LINEAR AMIDES)
      1 HYDROLASE(C-TERMINAL PEPTIDASE)
      1 HYDROLASE(ENDORIBONUCLEASE)
      1 HYDROLASE(PHOSPHORIC DIESTER)
      1 HYDROLASE(PHOSPHORIC MONOESTER)
      9 HYDROLASE/HYDROLASE INHIBITOR
      2 HYDROLASE/IMMUNE SYSTEM
      4 HYDROLASE/INHIBITOR
      1 HYDROLASE/PROTEIN BINDING
      1 HYDROLASE/TRANSFERASE
      6 Heme Binding Protein
      2 Hydrolase/Hydrolase Inhibitor
      1 Hydrolase/Isomerase/Calcium Binding
     79 IMMUNE SYSTEM
      1 IMMUNOGLOBULIN
      2 INHIBITOR
      1 IRON STORAGE/ELECTRON TRANSPORT
      1 IRON TRANSPORT
      2 IRON TRANSPORT PROTEIN
      1 IRON-SULFUR-BINDING PROTEIN
     71 ISOMERASE
      2 ISOMERASE(INTRAMOLECULAR OXIDOREDUCTASE)
      1 ISOPRENOID SYNTHASE
      2 KETOLISOMERASE
      1 KINASE
      1 LEISHMANOLYSIN
      6 LIGAND BINDING PROTEIN
     69 LIGASE
      2 LIGASE/ANTIBIOTIC
      1 LIM DOMAIN CONTAINING PROTEINS
      7 LIPID BINDING PROTEIN
      1 LIPID TRANSPORT
      4 LIPOPROTEIN
      3 LUMINESCENT PROTEIN
    109 LYASE
      1 LYASE (OXO-ACID)
      3 LYASE/ANTIBIOTIC
      2 LYASE/INHIBITOR
      1 LYASE/LYASE INHIBITOR
      1 LYASE/LYASE inhibitor
      1 LYASE/OXIDOREDUCTASE
      1 Lyase/OXIDOREDUCTASE
     61 MEMBRANE PROTEIN
      1 MEMBRANE PROTEIN/HORMONE
      1 MEMBRANE PROTEIN/IMMUNE SYSTEM
      1 MEMBRANE PROTEIN/METAL TRANSPORT
      1 METAL BINDING
    323 METAL BINDING PROTEIN
      1 METAL BINDING PROTEIN/PROTEIN TRANSPORT
     50 METAL TRANSPORT
      1 METAL TRANSPORT/MEMBRANE PROTEIN
      3 METAL-BINDING
      2 METALLOCARBOXYPEPTIDASE
      2 METALLOPROTEASE
      1 METALLOTHIONEIN
      1 MOTILITY
      6 MOTOR PROTEIN
      2 MUSCLE PROTEIN
      1 Membrane protein/Immune system
      1 Metal-binding protein/nuclear Protein
     23 NUCLEAR PROTEIN
      3 NUCLEAR PROTEIN/METAL BINDING PROTEIN
      3 NUCLEAR RECEPTOR
      1 NUCLEIC ACID BINDING PROTEIN
      2 NUCLEOCAPSID PROTEIN
